run,seed,allies,enemies,difficulty,victory_condition,ending,human_victory,turns,score,allies_evacuated,actions,action_log,peak_heap_bytes
run-0659,2480544551777015013,3327,1664,MUY_FACIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,30,19046,2184,127080,run-0659-actions.log.gz,29545400
run-0660,-6873537350440924836,3332,2499,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,29,19284,2187,145276,run-0660-actions.log.gz,30069688
run-0661,7565964829260356648,3337,3337,NORMAL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,30,-12042,0,161922,run-0661-actions.log.gz,30593976
run-0662,-7877598880551298452,3341,4176,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,30,-11470,0,178237,run-0662-actions.log.gz,30593976
run-0663,-4472515934134557043,3346,5000,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,23,578,223,176107,run-0663-actions.log.gz,31118264
run-0664,6911177627366863186,3351,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,33,560,223,248151,run-0664-actions.log.gz,31118264
run-0665,-2268632306888415313,3356,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_JUGADOR,true,25,14988,1063,185023,run-0665-actions.log.gz,31642552
run-0666,-260094682466843635,3361,1681,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,26,29363,3361,114310,run-0666-actions.log.gz,32166840
run-0667,-4078634170563192676,3366,2525,FACIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,31,20646,2209,150032,run-0667-actions.log.gz,32166840
run-0668,2533340254428901334,3371,3371,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,24,20442,2212,137743,run-0668-actions.log.gz,32691128
run-0669,-5632783013465084357,3376,4220,DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,35,-11585,0,213287,run-0669-actions.log.gz,33215416
run-0670,-172843016571219555,3381,5000,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,32,-11056,0,221019,run-0670-actions.log.gz,33215416
run-0671,-4309611070365069769,3386,5000,PESADILLA,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,19,544,225,150411,run-0671-actions.log.gz,33739704
